targeted_mito_single_test3_result,prior_genetic_testing,,radio,What was the result of the 3rd single mutation targeted test?,"1, Positive | 2, Negative",,,,,,([targeted_mito_single_or_panel(1)]='1') and [targeted_test_group_no]>=3
targeted_mito_single_test4,prior_genetic_testing,,text,4th targeted mutation tested ,,,,,,,([targeted_mito_single_or_panel(1)]='1') and [targeted_test_group_no]>=4
targeted_mito_single_test4_sample,prior_genetic_testing,,checkbox,Tissue type tested for 4th single mutation targeted test,"1, blood | 2, urine | 3, muscle | 4, saliva | 5, other",,,,,,([targeted_mito_single_or_panel(1)]='1') and [targeted_test_group_no]>=4
targeted_mito_single_test4_sample_other_dtls,prior_genetic_testing,,text,Please specify other Tissue type tested for 4th single mutation targeted test,,,,,,,([targeted_mito_single_test4_sample(5)]='1') and [targeted_test_group_no]>=4
targeted_mito_single_test4_result,prior_genetic_testing,,radio,What was the result of the 4th single mutation targeted test?,"1, Positive | 2, Negative",,,,,,([targeted_mito_single_or_panel(1)]='1') and [targeted_test_group_no]>=4
targeted_mito_single_test5,prior_genetic_testing,,text,5th targeted mutation tested ,,,,,,,([targeted_mito_single_or_panel(1)]='1') and [targeted_test_group_no]>=5
targeted_mito_single_test5_sample,prior_genetic_testing,,checkbox,Tissue type tested for 5th single mutation targeted test,"1, blood | 2, urine | 3, muscle | 4, saliva | 5, other",,,,,,([targeted_mito_single_or_panel(1)]='1') and [targeted_test_group_no]>=5
targeted_mito_single_test5_sample_other_dtls,prior_genetic_testing,,text,Please specify other Tissue type tested for 5th single mutation targeted test,,,,,,,([targeted_mito_single_test5_sample(5)]='1') and [targeted_test_group_no]>=5
targeted_mito_single_test5_result,prior_genetic_testing,,radio,What was the result of the 5th single mutation targeted test?,"1, Positive | 2, Negative",,,,,,([targeted_mito_single_or_panel(1)]='1') and [targeted_test_group_no]>=5
mitochondrial_panel_group_no,prior_genetic_testing,Targetted Mitochondrial Panels,text,How many mitochondrial panels would you like to enter (up to 5)?,,,,,,,[targeted_mito_single_or_panel(2)]='1'
targeted_mito_panel1_loc,prior_genetic_testing,,text,Laboratory that performed 1st targeted mitochondrial panel,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel_group_no]>=1
targeted_mito_panel1_date,prior_genetic_testing,,text,Year 1st targeted mitochondrial panel was performed,,Please specify four digit year,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel_group_no]>=1
targeted_mito_panel1_type,prior_genetic_testing,,text,What was the type of the 1st targeted mitochondrial panel?,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel_group_no]>=1
targeted_mito_panel1_results,prior_genetic_testing,,dropdown,Results of 1st targeted mitochondrial panel,"1, Normal | 2, Variant Positive",,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel_group_no]>=1
mitochondrial_panel1_gene_group_no,prior_genetic_testing,,text,How many genes would you like to enter (up to 5)?,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel_group_no]>=1
mitochondrial_panel1_gene1,prior_genetic_testing,,text,1st gene on 1st targeted mitochondrial panel that contained mutation,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel1_gene_group_no]>=1
mitochondrial_panel1_gene1_mdna_change_group_no,prior_genetic_testing,,text,How many mdna changes would you like to enter (up to 5)?,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel1_gene_group_no]>=1
mitochondrial_panel1_gene1_mdna_change1,prior_genetic_testing,,text,1st change in mDNA on 1st gene on 1st targeted mitochondrial panel,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel1_gene1_mdna_change_group_no]>=1
mitochondrial_panel1_gene1_mdna_change2,prior_genetic_testing,,text,2nd change in mDNA on 1st gene on 1st targeted mitochondrial panel,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel1_gene1_mdna_change_group_no]>=2
mitochondrial_panel1_gene1_mdna_change3,prior_genetic_testing,,text,3rd change in mDNA on 1st gene on 1st targeted mitochondrial panel,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel1_gene1_mdna_change_group_no]>=3
mitochondrial_panel1_gene1_mdna_change4,prior_genetic_testing,,text,4th change in mDNA on 1st gene on 1st targeted mitochondrial panel,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel1_gene1_mdna_change_group_no]>=4
mitochondrial_panel1_gene1_mdna_change5,prior_genetic_testing,,text,5th change in mDNA on 1st gene on 1st targeted mitochondrial panel,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel1_gene1_mdna_change_group_no]>=5
mitochondrial_panel1_gene1_mdna_variant_of_unknown_significance_group_no,prior_genetic_testing,,text,How many mdna variant of unknown significances would you like to enter (up to 5)?,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel1_gene_group_no]>=1
mitochondrial_panel1_gene1_vus_mdna1,prior_genetic_testing,,text,1st variant of unknown significance on 1st gene on  1st targeted mitochondrial panel,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel1_gene1_mdna_variant_of_unknown_significance_group_no]>=1
mitochondrial_panel1_gene1_vus_mdna2,prior_genetic_testing,,text,2nd variant of unknown significance on 1st gene on  1st targeted mitochondrial panel,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel1_gene1_mdna_variant_of_unknown_significance_group_no]>=2
mitochondrial_panel1_gene1_vus_mdna3,prior_genetic_testing,,text,3rd variant of unknown significance on 1st gene on  1st targeted mitochondrial panel,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel1_gene1_mdna_variant_of_unknown_significance_group_no]>=3
mitochondrial_panel1_gene1_vus_mdna4,prior_genetic_testing,,text,4th variant of unknown significance on 1st gene on  1st targeted mitochondrial panel,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel1_gene1_mdna_variant_of_unknown_significance_group_no]>=4
mitochondrial_panel1_gene1_vus_mdna5,prior_genetic_testing,,text,5th variant of unknown significance on 1st gene on  1st targeted mitochondrial panel,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel1_gene1_mdna_variant_of_unknown_significance_group_no]>=5
mitochondrial_panel1_gene2,prior_genetic_testing,,text,2nd gene on 1st targeted mitochondrial panel that contained mutation,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel1_gene_group_no]>=2
mitochondrial_panel1_gene2_mdna_change_group_no,prior_genetic_testing,,text,How many mdna changes would you like to enter (up to 5)?,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel1_gene_group_no]>=2
mitochondrial_panel1_gene2_mdna_change1,prior_genetic_testing,,text,1st change in mDNA on 2nd gene on 1st targeted mitochondrial panel,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel1_gene2_mdna_change_group_no]>=1
mitochondrial_panel1_gene2_mdna_change2,prior_genetic_testing,,text,2nd change in mDNA on 2nd gene on 1st targeted mitochondrial panel,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel1_gene2_mdna_change_group_no]>=2
mitochondrial_panel1_gene2_mdna_change3,prior_genetic_testing,,text,3rd change in mDNA on 2nd gene on 1st targeted mitochondrial panel,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel1_gene2_mdna_change_group_no]>=3
mitochondrial_panel1_gene2_mdna_change4,prior_genetic_testing,,text,4th change in mDNA on 2nd gene on 1st targeted mitochondrial panel,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel1_gene2_mdna_change_group_no]>=4
mitochondrial_panel1_gene2_mdna_change5,prior_genetic_testing,,text,5th change in mDNA on 2nd gene on 1st targeted mitochondrial panel,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel1_gene2_mdna_change_group_no]>=5
mitochondrial_panel1_gene2_mdna_variant_of_unknown_significance_group_no,prior_genetic_testing,,text,How many mdna variant of unknown significances would you like to enter (up to 5)?,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel1_gene_group_no]>=2
mitochondrial_panel1_gene2_vus_mdna1,prior_genetic_testing,,text,1st variant of unknown significance on 2nd gene on  1st targeted mitochondrial panel,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel1_gene2_mdna_variant_of_unknown_significance_group_no]>=1
mitochondrial_panel1_gene2_vus_mdna2,prior_genetic_testing,,text,2nd variant of unknown significance on 2nd gene on  1st targeted mitochondrial panel,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel1_gene2_mdna_variant_of_unknown_significance_group_no]>=2
mitochondrial_panel1_gene2_vus_mdna3,prior_genetic_testing,,text,3rd variant of unknown significance on 2nd gene on  1st targeted mitochondrial panel,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel1_gene2_mdna_variant_of_unknown_significance_group_no]>=3
mitochondrial_panel1_gene2_vus_mdna4,prior_genetic_testing,,text,4th variant of unknown significance on 2nd gene on  1st targeted mitochondrial panel,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel1_gene2_mdna_variant_of_unknown_significance_group_no]>=4
mitochondrial_panel1_gene2_vus_mdna5,prior_genetic_testing,,text,5th variant of unknown significance on 2nd gene on  1st targeted mitochondrial panel,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel1_gene2_mdna_variant_of_unknown_significance_group_no]>=5
mitochondrial_panel1_gene3,prior_genetic_testing,,text,3rd gene on 1st targeted mitochondrial panel that contained mutation,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel1_gene_group_no]>=3
mitochondrial_panel1_gene3_mdna_change_group_no,prior_genetic_testing,,text,How many mdna changes would you like to enter (up to 5)?,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel1_gene_group_no]>=3
mitochondrial_panel1_gene3_mdna_change1,prior_genetic_testing,,text,1st change in mDNA on 3rd gene on 1st targeted mitochondrial panel,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel1_gene3_mdna_change_group_no]>=1
mitochondrial_panel1_gene3_mdna_change2,prior_genetic_testing,,text,2nd change in mDNA on 3rd gene on 1st targeted mitochondrial panel,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel1_gene3_mdna_change_group_no]>=2
mitochondrial_panel1_gene3_mdna_change3,prior_genetic_testing,,text,3rd change in mDNA on 3rd gene on 1st targeted mitochondrial panel,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel1_gene3_mdna_change_group_no]>=3
mitochondrial_panel1_gene3_mdna_change4,prior_genetic_testing,,text,4th change in mDNA on 3rd gene on 1st targeted mitochondrial panel,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel1_gene3_mdna_change_group_no]>=4
mitochondrial_panel1_gene3_mdna_change5,prior_genetic_testing,,text,5th change in mDNA on 3rd gene on 1st targeted mitochondrial panel,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel1_gene3_mdna_change_group_no]>=5
mitochondrial_panel1_gene3_mdna_variant_of_unknown_significance_group_no,prior_genetic_testing,,text,How many mdna variant of unknown significances would you like to enter (up to 5)?,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel1_gene_group_no]>=3
mitochondrial_panel1_gene3_vus_mdna1,prior_genetic_testing,,text,1st variant of unknown significance on 3rd gene on  1st targeted mitochondrial panel,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel1_gene3_mdna_variant_of_unknown_significance_group_no]>=1
mitochondrial_panel1_gene3_vus_mdna2,prior_genetic_testing,,text,2nd variant of unknown significance on 3rd gene on  1st targeted mitochondrial panel,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel1_gene3_mdna_variant_of_unknown_significance_group_no]>=2
mitochondrial_panel1_gene3_vus_mdna3,prior_genetic_testing,,text,3rd variant of unknown significance on 3rd gene on  1st targeted mitochondrial panel,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel1_gene3_mdna_variant_of_unknown_significance_group_no]>=3
mitochondrial_panel1_gene3_vus_mdna4,prior_genetic_testing,,text,4th variant of unknown significance on 3rd gene on  1st targeted mitochondrial panel,,,,,,,([targeted_mito_single_or_panel(2)]='1') and [mitochondrial_panel1_gene3_mdna_variant_of_unknown_significance_group_no]>=4
